today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-08-06,74Y,,OAIX,1,DWC,2021-08-06 22:00:00,0,0,0
2021-08-06,74Y,,OAIX,0,0,0,1,GYD,2021-08-06 23:59:00
2021-08-06,B763,Boeing 767-319(ER),BIKF,1,TFS,2021-08-07 20:52:16,0,0,0
2021-08-06,B752,Boeing 757-23N,BIKF,1,CDG,2021-08-06 23:55:00,0,0,0
2021-08-06,B753,Boeing 757-308,BIKF,1,CPH,2021-08-06 23:50:00,0,0,0
2021-08-06,A20N,Airbus A320-271N,BIKF,1,FRA,2021-08-06 23:30:00,0,0,0
2021-08-06,B38M,Boeing 737 MAX 8,BIKF,1,MXP,2021-08-06 23:30:00,0,0,0
2021-08-06,B753,Boeing 757-3E7,BIKF,1,BLL,2021-08-06 23:30:00,0,0,0
2021-08-06,A21N,Airbus A321-251N,BIKF,1,CPH,2021-08-06 22:55:00,0,0,0
2021-08-06,B38M,Boeing 737 MAX 8,BIKF,1,BOS,2021-08-06 20:50:00,0,0,0
2021-08-06,A321,Airbus A321-231,BIKF,1,KTW,2021-08-06 20:05:00,0,0,0
2021-08-06,B738,Boeing 737-86N,BIKF,1,AGP,2021-08-06 18:50:00,0,0,0
2021-08-06,A21N,Airbus A321-271NX,BIKF,1,FCO,2021-08-06 18:40:00,0,0,0
2021-08-06,320,,BIKF,1,WRO,2021-08-06 18:05:00,0,0,0
2021-08-06,B738,Boeing 737-8K2,BIKF,1,AMS,2021-08-06 18:00:00,0,0,0
2021-08-06,B752,Boeing 757-208,BIKF,1,MUC,2021-08-06 16:00:00,0,0,0
2021-08-06,B752,Boeing 757-208,BIKF,1,ZRH,2021-08-06 15:55:00,0,0,0
2021-08-06,B38M,Boeing 737 MAX 8,BIKF,1,BER,2021-08-06 15:50:00,0,0,0
2021-08-06,B38M,Boeing 737 MAX 8,BIKF,1,HEL,2021-08-06 15:45:00,0,0,0
2021-08-06,B763,Boeing 767-319(ER),BIKF,1,FRA,2021-08-06 15:40:00,0,0,0
2021-08-06,B752,Boeing 757-256,BIKF,1,CDG,2021-08-06 15:40:00,0,0,0
2021-08-06,B752,Boeing 757-256,BIKF,1,CDG,2021-08-06 15:40:00,0,0,0
2021-08-06,B752,Boeing 757-256,BIKF,1,CPH,2021-08-06 15:40:00,0,0,0
